# X Y Z

1	0.0	0.0	0.0

2	1.0	0.0	0.0

3	2.0	0.0	0.0

4	3.0	0.0	0.0

5	4.0	0.0	0.0

6	5.0	0.0	0.0

7	6.0	0.0	0.0

8	7.0	0.0	0.0

9	8.0	0.0	0.0

10	9.0	0.0	0.0

11	10.0	0.0	0.0

12	11.0	0.0	0.0

13	12.0	0.0	0.0

14	13.0	0.0	0.0

15	14.0	0.0	0.0

16	15.0	0.0	0.0

17	16.0	0.0	0.0

18	17.0	0.0	0.0

19	18.0	0.0	0.0

20	19.0	0.0	0.0

21	20.0	0.0	0.0

22	21.0	0.0	0.0

23	22.0	0.0	0.0

24	23.0	0.0	0.0

25	24.0	0.0	0.0

26	25.0	0.0	0.0

27	26.0	0.0	0.0

28	27.0	0.0	0.0

29	28.0	0.0	0.0

30	29.0	0.0	0.0

# A B M N

1	1	4	2	3

2	2	5	3	4

3	3	6	4	5

4	4	7	5	6

5	5	8	6	7

6	6	9	7	8

7	7	10	8	9

8	8	11	9	10

9	9	12	10	11

10	10	13	11	12

11	11	14	12	13

12	12	15	13	14

13	13	16	14	15

14	14	17	15	16

15	15	18	16	17

16	16	19	17	18

17	17	20	18	19

18	18	21	19	20

19	19	22	20	21

20	20	23	21	22

21	21	24	22	23

22	22	25	23	24

23	23	26	24	25

24	24	27	25	26

25	25	28	26	27

26	26	29	27	28

27	27	30	28	29

28	1	7	3	5

29	2	8	4	6

30	3	9	5	7

31	4	10	6	8

32	5	11	7	9

33	6	12	8	10

34	7	13	9	11

35	8	14	10	12

36	9	15	11	13

37	10	16	12	14

38	11	17	13	15

39	12	18	14	16

40	13	19	15	17

41	14	20	16	18

42	15	21	17	19

43	16	22	18	20

44	17	23	19	21

45	18	24	20	22

46	19	25	21	23

47	20	26	22	24

48	21	27	23	25

49	22	28	24	26

50	23	29	25	27

51	24	30	26	28

52	1	10	4	7

53	2	11	5	8

54	3	12	6	9

55	4	13	7	10

56	5	14	8	11

57	6	15	9	12

58	7	16	10	13

59	8	17	11	14

60	9	18	12	15
