1	4	2	3	1.44761934280396e+01	1.26947994232178e+01	6.01913034915924e-01	0.00000000000000e+00	1.14293849468231e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.12441682815552e+00	-4.04934295654297e+02	7.00000000000000e+00	3.97067451477051e+01	1.59430027008057e-02	9.64158952236176e-01	1
2	5	3	4	1.34111433029175e+01	1.26947994232178e+01	1.86296451091766e+00	0.00000000000000e+00	1.24109613895416e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.46751880645752e+00	3.96021545410156e+02	7.00000000000000e+00	3.97067451477051e+01	1.75594005584717e-02	9.05954360961914e-01	1
3	6	4	5	1.44761934280396e+01	1.26947994232178e+01	4.31978076696396e-01	0.00000000000000e+00	9.16777670383453e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.73497247695923e+00	-2.08699479699135e-01	7.00000000000000e+00	3.97067451477051e+01	1.36473083496094e-02	1.09630501270294e+00	1
4	7	5	6	1.44761934280396e+01	1.26947994232178e+01	8.16616714000702e-01	0.00000000000000e+00	8.15525829792023e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.42785763740540e+00	-1.22690734863281e+02	7.00000000000000e+00	3.97067451477051e+01	1.43757114410400e-02	1.15568602085114e+00	1
5	8	6	7	1.34338045120239e+01	1.26947994232178e+01	2.52564811706543e+00	0.00000000000000e+00	9.47625696659088e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.50305747985840e+00	5.21830520629883e+01	7.00000000000000e+00	3.92179870605469e+01	1.61312427520752e-02	1.10052573680878e+00	1
6	9	7	8	1.44761934280396e+01	1.26947994232178e+01	4.93604451417923e-01	0.00000000000000e+00	7.58501350879669e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.21132993698120e+00	1.31848974227905e+01	7.00000000000000e+00	3.97067451477051e+01	1.41792879104614e-02	1.61706686019897e+00	1
7	10	8	9	1.34111433029175e+01	1.26649999618530e+01	1.52464294433594e+00	0.00000000000000e+00	8.48912894725800e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.58307719230652e+00	2.86982250213623e+01	7.00000000000000e+00	3.97067451477051e+01	1.51532192230225e-02	1.54794931411743e+00	1
8	11	9	10	1.44988536834717e+01	1.26947994232178e+01	8.32383155822754e-01	0.00000000000000e+00	7.65394270420074e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.94059944152832e+00	-3.03187122344971e+01	7.00000000000000e+00	3.97067451477051e+01	1.43675251007080e-02	1.60506725311279e+00	1
9	12	10	11	1.34111433029175e+01	1.26649999618530e+01	3.34106594324112e-01	0.00000000000000e+00	8.30347061157227e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.81119894981384e+00	1.16953554153442e+01	7.00000000000000e+00	3.97067451477051e+01	1.39337587356567e-02	1.56420016288757e+00	1
10	13	11	12	1.44988536834717e+01	1.26649999618530e+01	3.29825431108475e-01	0.00000000000000e+00	7.95355379581451e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.60391402244568e+00	8.18429350852966e-01	7.00000000000000e+00	3.92179870605469e+01	1.42856836318970e-02	1.96839129924774e+00	1
