El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho Dev. M Sp Vp In Spa.5 Spa.6 Spa.7 Spa.8
Mixed/non-conventional 12.00 18.00 14.00 16.00 2011.32 1.27 0.00 -4.08 20.119 0.126 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 19.00 15.00 17.00 1961.96 3.81 0.00 11.83 19.259 0.123 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 20.00 16.00 18.00 2311.47 2.03 0.00 21.97 19.023 0.103 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 21.00 17.00 19.00 2333.47 1.13 0.00 1.15 19.793 0.107 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 22.00 18.00 20.00 2619.25 1.95 0.00 -10.66 19.843 0.095 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 23.00 19.00 21.00 2535.50 1.57 0.00 4.66 20.122 0.100 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 24.00 20.00 22.00 2623.21 1.98 0.00 -11.23 20.685 0.099 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 25.00 21.00 23.00 2825.42 2.05 0.00 3.02 20.076 0.089 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 26.00 22.00 24.00 2938.66 0.93 0.00 32.88 20.004 0.086 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 27.00 23.00 25.00 2781.46 0.70 0.00 -24.75 25.065 0.113 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 28.00 24.00 26.00 2790.87 0.96 0.00 14.41 26.229 0.118 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 29.00 25.00 27.00 3224.20 1.93 0.00 48.28 21.910 0.085 0.00 0.00 0.00 0.00
Mixed/non-conventional 24.00 30.00 26.00 28.00 2753.98 1.28 0.00 -38.68 19.220 0.088 0.00 0.00 0.00 0.00
