El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho Dev. M Sp Vp In Spa.5 Spa.6 Spa.7 Spa.8
Mixed/non-conventional 1.00 2.00 3.00 4.00 3117.14 1.83 0.00 -17.39 -18.718 0.113 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 3.00 4.00 5.00 5458.04 2.54 0.00 62.45 -22.680 0.078 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 4.00 5.00 6.00 4768.64 1.34 0.00 -61.98 -27.977 0.111 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 5.00 6.00 7.00 5330.30 2.45 0.00 42.81 -32.752 0.116 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 6.00 7.00 8.00 5351.68 1.28 0.00 -1.34 -27.329 0.096 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 7.00 8.00 9.00 5563.40 1.68 0.00 -1.16 -28.762 0.097 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 8.00 9.00 10.00 5196.59 2.02 0.00 -17.84 -28.296 0.103 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 9.00 10.00 11.00 5624.73 1.69 0.00 14.63 -26.645 0.089 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 10.00 11.00 12.00 5093.41 0.81 0.00 -16.17 -26.913 0.100 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 11.00 12.00 13.00 3468.47 1.24 0.00 0.30 -28.686 0.156 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 12.00 13.00 14.00 5390.10 1.06 0.00 29.44 -50.947 0.178 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 13.00 14.00 15.00 3872.87 1.29 0.00 -28.23 -35.546 0.173 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 14.00 15.00 16.00 4327.81 0.78 0.00 -7.98 -33.078 0.144 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 15.00 16.00 17.00 5768.08 1.43 0.00 16.15 -35.725 0.117 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 16.00 17.00 18.00 5557.82 1.55 0.00 7.75 -29.528 0.100 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 17.00 18.00 19.00 6459.16 1.89 0.00 -10.87 -35.546 0.104 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 18.00 19.00 20.00 6367.80 0.84 0.00 -0.87 -37.089 0.110 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 19.00 20.00 21.00 7525.12 2.39 0.00 12.24 -38.311 0.096 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 20.00 21.00 22.00 7059.83 2.96 0.00 -16.86 -28.135 0.075 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 21.00 22.00 23.00 7690.45 1.12 0.00 15.57 -35.714 0.088 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 22.00 23.00 24.00 6386.96 0.63 0.00 9.27 -37.551 0.111 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 23.00 24.00 25.00 7725.83 0.83 0.00 -20.15 -44.006 0.107 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 24.00 25.00 26.00 6916.79 1.34 0.00 58.14 -43.941 0.120 0.00 0.00 0.00 0.00
Mixed/non-conventional 24.00 25.00 26.00 27.00 6549.05 0.75 0.00 -10.29 -41.223 0.119 0.00 0.00 0.00 0.00
Mixed/non-conventional 25.00 26.00 27.00 28.00 6020.38 0.98 0.00 17.20 -39.056 0.122 0.00 0.00 0.00 0.00
Mixed/non-conventional 26.00 27.00 28.00 29.00 7239.89 0.68 0.00 -21.88 -51.180 0.133 0.00 0.00 0.00 0.00
Mixed/non-conventional 27.00 28.00 29.00 30.00 6546.91 1.43 0.00 -9.96 -59.844 0.172 0.00 0.00 0.00 0.00
Mixed/non-conventional 28.00 29.00 30.00 31.00 6664.58 1.38 0.00 -9.34 -44.346 0.125 0.00 0.00 0.00 0.00
Mixed/non-conventional 29.00 30.00 31.00 32.00 9969.15 2.58 0.00 -1.38 -38.193 0.072 0.00 0.00 0.00 0.00
Mixed/non-conventional 30.00 31.00 32.00 33.00 10440.55 2.17 0.00 2.97 -36.892 0.067 0.00 0.00 0.00 0.00
Mixed/non-conventional 31.00 32.00 33.00 34.00 7132.21 1.83 0.00 27.82 -27.866 0.074 0.00 0.00 0.00 0.00
Mixed/non-conventional 32.00 33.00 34.00 35.00 7499.93 2.92 0.00 -7.41 -27.121 0.068 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 1.00 3.00 4.00 996.45 0.49 0.00 -12.95 -15.609 1.181 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 2.00 4.00 5.00 1466.07 0.41 0.00 35.84 -15.677 0.806 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 3.00 5.00 6.00 2281.42 0.72 0.00 -44.79 -15.950 0.527 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 4.00 6.00 7.00 2184.52 0.79 0.00 18.71 -16.197 0.559 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 5.00 7.00 8.00 2645.15 0.18 0.00 3.71 -16.487 0.470 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 6.00 8.00 9.00 2747.03 0.60 0.00 -9.42 -16.218 0.445 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 7.00 9.00 10.00 2572.12 0.26 0.00 -10.52 -15.960 0.468 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 8.00 10.00 11.00 2803.92 1.26 0.00 12.00 -16.161 0.435 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 9.00 11.00 12.00 3504.21 1.25 0.00 -14.41 -16.476 0.355 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 10.00 12.00 13.00 2493.45 0.36 0.00 -1.43 -16.225 0.491 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 11.00 13.00 14.00 2657.15 0.50 0.00 28.35 -16.677 0.473 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 12.00 14.00 15.00 2775.39 0.68 0.00 -25.62 -16.942 0.460 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 13.00 15.00 16.00 2448.89 0.73 0.00 -7.12 -16.734 0.515 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 14.00 16.00 17.00 3494.63 0.57 0.00 15.91 -16.942 0.366 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 15.00 17.00 18.00 3287.06 0.45 0.00 2.17 -16.491 0.378 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 16.00 18.00 19.00 3531.23 0.85 0.00 -10.42 -16.372 0.350 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 17.00 19.00 20.00 3402.45 0.45 0.00 -0.62 -16.254 0.360 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 18.00 20.00 21.00 3738.43 0.61 0.00 12.28 -16.448 0.332 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 19.00 21.00 22.00 3789.62 0.81 0.00 -17.12 -16.533 0.329 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 20.00 22.00 23.00 4564.13 0.72 0.00 14.12 -16.501 0.273 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 21.00 23.00 24.00 4249.65 0.95 0.00 5.22 -16.559 0.294 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 22.00 24.00 25.00 4494.21 0.80 0.00 -18.26 -16.902 0.284 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 23.00 25.00 26.00 5195.57 1.01 0.00 56.51 -17.225 0.250 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 24.00 26.00 27.00 4408.00 0.46 0.00 -9.16 -16.999 0.291 0.00 0.00 0.00 0.00
Mixed/non-conventional 24.00 25.00 27.00 28.00 4227.49 0.39 0.00 39.88 -16.777 0.299 0.00 0.00 0.00 0.00
Mixed/non-conventional 25.00 26.00 28.00 29.00 4180.40 0.92 0.00 -33.37 -16.716 0.301 0.00 0.00 0.00 0.00
Mixed/non-conventional 26.00 27.00 29.00 30.00 5329.15 1.11 0.00 -16.91 -17.393 0.246 0.00 0.00 0.00 0.00
Mixed/non-conventional 27.00 28.00 30.00 31.00 3896.65 0.79 0.00 -5.83 -17.364 0.336 0.00 0.00 0.00 0.00
Mixed/non-conventional 28.00 29.00 31.00 32.00 4012.46 0.70 0.00 -2.48 -16.834 0.316 0.00 0.00 0.00 0.00
Mixed/non-conventional 29.00 30.00 32.00 33.00 5600.35 1.02 0.00 0.14 -16.677 0.225 0.00 0.00 0.00 0.00
Mixed/non-conventional 30.00 31.00 33.00 34.00 4406.68 0.51 0.00 33.18 -16.344 0.280 0.00 0.00 0.00 0.00
Mixed/non-conventional 31.00 32.00 34.00 35.00 2947.86 0.48 0.00 -6.88 -16.179 0.414 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 1.00 4.00 5.00 558.20 0.19 0.00 39.99 -15.756 5.321 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 2.00 5.00 6.00 691.81 0.58 0.00 -49.20 -15.663 4.268 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 3.00 6.00 7.00 1042.69 0.57 0.00 18.17 -15.745 2.846 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 4.00 7.00 8.00 1085.39 0.35 0.00 5.97 -15.470 2.687 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 5.00 8.00 9.00 1348.48 0.58 0.00 -6.01 -15.556 2.174 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 6.00 9.00 10.00 1252.87 0.38 0.00 -13.13 -15.437 2.323 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 7.00 10.00 11.00 1274.68 0.36 0.00 9.39 -15.352 2.270 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 8.00 11.00 12.00 1600.76 0.34 0.00 -14.90 -15.412 1.815 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 9.00 12.00 13.00 1571.73 0.25 0.00 -0.25 -15.513 1.860 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 10.00 13.00 14.00 1695.31 0.77 0.00 17.87 -15.577 1.732 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 11.00 14.00 15.00 1252.31 0.82 0.00 -21.80 -15.484 2.331 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 12.00 15.00 16.00 1597.13 0.66 0.00 -6.19 -15.559 1.836 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 13.00 16.00 17.00 1871.38 0.75 0.00 14.99 -15.692 1.581 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 14.00 17.00 18.00 2038.78 0.70 0.00 41.48 -15.498 1.433 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 15.00 18.00 19.00 2444.31 0.90 0.00 -42.19 -15.405 1.188 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 16.00 19.00 20.00 2169.17 0.47 0.00 -4.39 -15.352 1.334 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 17.00 20.00 21.00 2170.31 0.23 0.00 12.58 -15.334 1.332 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 18.00 21.00 22.00 1901.42 0.70 0.00 -17.06 -15.337 1.520 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 19.00 22.00 23.00 2621.07 0.58 0.00 19.60 -15.563 1.119 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 20.00 23.00 24.00 2700.11 0.58 0.00 -1.27 -15.495 1.082 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 21.00 24.00 25.00 2735.24 0.80 0.00 -17.71 -15.441 1.064 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 22.00 25.00 26.00 2654.16 0.44 0.00 58.91 -15.538 1.103 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 23.00 26.00 27.00 2833.24 0.57 0.00 -11.09 -15.531 1.033 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 24.00 27.00 28.00 2492.00 0.24 0.00 55.49 -15.527 1.174 0.00 0.00 0.00 0.00
Mixed/non-conventional 24.00 25.00 28.00 29.00 2562.66 1.12 0.00 -48.48 -15.384 1.132 0.00 0.00 0.00 0.00
Mixed/non-conventional 25.00 26.00 29.00 30.00 2764.39 0.76 0.00 -20.48 -15.355 1.047 0.00 0.00 0.00 0.00
Mixed/non-conventional 26.00 27.00 30.00 31.00 2699.63 0.59 0.00 -8.36 -15.391 1.075 0.00 0.00 0.00 0.00
Mixed/non-conventional 27.00 28.00 31.00 32.00 2102.47 0.39 0.00 2.64 -15.463 1.386 0.00 0.00 0.00 0.00
Mixed/non-conventional 28.00 29.00 32.00 33.00 2264.78 0.49 0.00 -3.02 -15.470 1.288 0.00 0.00 0.00 0.00
Mixed/non-conventional 29.00 30.00 33.00 34.00 2312.87 0.28 0.00 35.73 -15.301 1.247 0.00 0.00 0.00 0.00
Mixed/non-conventional 30.00 31.00 34.00 35.00 1883.18 0.21 0.00 -6.78 -15.520 1.553 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 1.00 5.00 6.00 362.15 0.68 0.00 -65.36 -15.649 16.290 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 2.00 6.00 7.00 428.29 0.98 0.00 22.78 -15.541 13.680 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 3.00 7.00 8.00 640.42 0.50 0.00 12.55 -15.660 9.218 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 4.00 8.00 9.00 665.65 0.14 0.00 -5.42 -15.506 8.782 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 5.00 9.00 10.00 696.92 0.53 0.00 -20.05 -15.334 8.295 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 6.00 10.00 11.00 665.69 0.37 0.00 9.33 -15.563 8.813 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 7.00 11.00 12.00 773.55 0.35 0.00 -15.63 -15.527 7.567 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 8.00 12.00 13.00 792.66 0.14 0.00 -2.70 -15.434 7.340 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 9.00 13.00 14.00 1117.04 0.46 0.00 27.51 -15.538 5.244 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 10.00 14.00 15.00 867.57 0.90 0.00 -25.63 -15.473 6.724 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 11.00 15.00 16.00 786.19 0.58 0.00 -8.84 -15.470 7.418 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 12.00 16.00 17.00 1243.00 0.43 0.00 92.50 -15.520 4.707 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 13.00 17.00 18.00 1087.14 0.10 0.00 11.32 -15.570 5.399 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 14.00 18.00 19.00 1502.08 0.94 0.00 -82.69 -15.348 3.852 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 15.00 19.00 20.00 1599.57 0.43 0.00 -9.25 -15.545 3.664 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 16.00 20.00 21.00 1536.26 0.08 0.00 15.08 -15.502 3.804 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 17.00 21.00 22.00 1286.01 0.60 0.00 -18.51 -15.513 4.548 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 18.00 22.00 23.00 1414.83 0.56 0.00 30.61 -15.373 4.096 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 19.00 23.00 24.00 1613.34 0.45 0.00 -4.81 -15.624 3.651 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 20.00 24.00 25.00 1749.95 0.93 0.00 -22.89 -15.538 3.347 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 21.00 25.00 26.00 1664.59 0.42 0.00 72.99 -15.527 3.517 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 22.00 26.00 27.00 1512.92 0.78 0.00 -17.56 -15.599 3.887 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 23.00 27.00 28.00 1640.56 0.43 0.00 73.85 -15.602 3.585 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 24.00 28.00 29.00 1601.62 0.89 0.00 -48.33 -15.566 3.664 0.00 0.00 0.00 0.00
Mixed/non-conventional 24.00 25.00 29.00 30.00 1840.86 0.58 0.00 -16.91 -15.240 3.121 0.00 0.00 0.00 0.00
Mixed/non-conventional 25.00 26.00 30.00 31.00 1604.55 0.51 0.00 -12.85 -15.531 3.649 0.00 0.00 0.00 0.00
Mixed/non-conventional 26.00 27.00 31.00 32.00 1551.43 0.42 0.00 -12.07 -15.262 3.709 0.00 0.00 0.00 0.00
Mixed/non-conventional 27.00 28.00 32.00 33.00 1359.12 0.27 0.00 -0.39 -15.309 4.246 0.00 0.00 0.00 0.00
Mixed/non-conventional 28.00 29.00 33.00 34.00 1150.94 0.31 0.00 34.95 -15.309 5.014 0.00 0.00 0.00 0.00
Mixed/non-conventional 29.00 30.00 34.00 35.00 1242.70 0.18 0.00 -5.72 -15.495 4.701 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 1.00 6.00 7.00 314.18 0.93 0.00 18.01 -13.073 27.453 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 2.00 7.00 8.00 368.72 0.14 0.00 11.97 -10.864 19.437 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 3.00 8.00 9.00 508.35 0.15 0.00 -3.91 -14.478 18.789 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 4.00 9.00 10.00 425.93 0.34 0.00 -16.19 -15.147 23.462 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 5.00 10.00 11.00 438.54 0.17 0.00 -6.97 -15.129 22.761 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 6.00 11.00 12.00 487.14 0.47 0.00 -18.61 -14.961 20.262 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 7.00 12.00 13.00 468.27 0.19 0.00 3.31 -15.094 21.265 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 8.00 13.00 14.00 662.25 0.33 0.00 42.54 -15.223 15.165 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 9.00 14.00 15.00 683.20 1.05 0.00 -31.59 -15.058 14.541 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 10.00 15.00 16.00 653.81 0.29 0.00 6.04 -15.054 15.191 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 11.00 16.00 17.00 696.76 0.37 0.00 83.65 -15.434 14.614 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 12.00 17.00 18.00 791.53 0.83 0.00 15.90 -15.341 12.786 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 13.00 18.00 19.00 850.38 0.92 0.00 -70.83 -15.459 11.993 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 14.00 19.00 20.00 1036.32 0.62 0.00 -18.66 -15.341 9.766 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 15.00 20.00 21.00 1185.24 0.56 0.00 -9.61 -15.423 8.585 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 16.00 21.00 22.00 997.18 0.76 0.00 -20.95 -15.298 10.121 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 17.00 22.00 23.00 1105.24 0.31 0.00 45.01 -15.377 9.178 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 18.00 23.00 24.00 964.13 0.36 0.00 -11.44 -15.187 10.392 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 19.00 24.00 25.00 1113.07 0.50 0.00 -13.91 -15.348 9.097 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 20.00 25.00 26.00 1159.13 0.43 0.00 63.52 -15.223 8.664 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 21.00 26.00 27.00 1078.68 1.01 0.00 -28.70 -15.176 9.282 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 22.00 27.00 28.00 959.47 0.29 0.00 90.76 -15.291 10.514 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 23.00 28.00 29.00 1179.25 0.92 0.00 -56.09 -15.398 8.615 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 24.00 29.00 30.00 1317.04 0.17 0.00 -10.40 -15.402 7.715 0.00 0.00 0.00 0.00
Mixed/non-conventional 24.00 25.00 30.00 31.00 1252.78 0.94 0.00 -23.29 -15.337 8.077 0.00 0.00 0.00 0.00
Mixed/non-conventional 25.00 26.00 31.00 32.00 1099.61 0.44 0.00 -7.26 -15.147 9.088 0.00 0.00 0.00 0.00
Mixed/non-conventional 26.00 27.00 32.00 33.00 1208.11 0.24 0.00 0.39 -15.377 8.397 0.00 0.00 0.00 0.00
Mixed/non-conventional 27.00 28.00 33.00 34.00 881.80 0.29 0.00 34.23 -15.262 11.418 0.00 0.00 0.00 0.00
Mixed/non-conventional 28.00 29.00 34.00 35.00 841.72 0.20 0.00 -4.18 -15.480 12.133 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 1.00 7.00 8.00 334.14 0.52 0.00 5.19 -8.732 27.586 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 2.00 8.00 9.00 362.94 0.40 0.00 5.42 -6.734 19.585 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 3.00 9.00 10.00 392.79 0.57 0.00 -12.59 -7.038 18.914 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 4.00 10.00 11.00 320.94 0.94 0.00 -18.27 -7.740 25.458 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 5.00 11.00 12.00 396.34 0.59 0.00 -15.98 -9.914 26.405 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 6.00 12.00 13.00 369.43 0.25 0.00 8.30 -7.905 22.587 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 7.00 13.00 14.00 467.72 0.34 0.00 32.60 -10.201 23.022 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 8.00 14.00 15.00 519.80 0.88 0.00 -14.30 -11.777 23.916 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 9.00 15.00 16.00 620.85 0.35 0.00 0.21 -12.271 20.864 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 10.00 16.00 17.00 668.70 0.38 0.00 75.83 -14.649 23.125 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 11.00 17.00 18.00 510.94 0.68 0.00 12.27 -15.051 31.094 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 12.00 18.00 19.00 691.28 0.98 0.00 -67.73 -15.452 23.595 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 13.00 19.00 20.00 671.27 0.47 0.00 -7.41 -15.326 24.101 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 14.00 20.00 21.00 843.00 0.79 0.00 -21.89 -15.255 19.102 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 15.00 21.00 22.00 831.65 0.77 0.00 -22.12 -15.409 19.558 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 16.00 22.00 23.00 942.46 0.31 0.00 39.88 -15.072 16.881 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 17.00 23.00 24.00 872.45 0.46 0.00 -12.24 -15.194 18.383 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 18.00 24.00 25.00 762.27 0.47 0.00 -5.63 -14.940 20.688 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 19.00 25.00 26.00 828.23 0.37 0.00 60.15 -15.212 19.387 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 20.00 26.00 27.00 857.35 1.01 0.00 -49.35 -14.857 18.292 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 21.00 27.00 28.00 780.35 0.30 0.00 110.39 -15.169 20.519 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 22.00 28.00 29.00 774.73 0.82 0.00 -37.04 -15.545 21.180 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 23.00 29.00 30.00 1089.97 0.89 0.00 -24.60 -14.875 14.406 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 24.00 30.00 31.00 1018.34 0.75 0.00 -23.50 -14.911 15.456 0.00 0.00 0.00 0.00
Mixed/non-conventional 24.00 25.00 31.00 32.00 966.43 0.45 0.00 -4.41 -15.169 16.568 0.00 0.00 0.00 0.00
Mixed/non-conventional 25.00 26.00 32.00 33.00 1020.32 0.21 0.00 0.91 -15.137 15.660 0.00 0.00 0.00 0.00
Mixed/non-conventional 26.00 27.00 33.00 34.00 922.00 0.40 0.00 32.51 -15.029 17.206 0.00 0.00 0.00 0.00
Mixed/non-conventional 27.00 28.00 34.00 35.00 779.21 0.18 0.00 -3.17 -15.380 20.835 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 1.00 8.00 9.00 357.51 0.59 0.00 8.74 -6.257 27.713 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 2.00 9.00 10.00 316.62 1.30 0.00 -14.59 -3.940 19.703 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 3.00 10.00 11.00 330.09 1.94 0.00 -22.92 -3.965 19.019 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 4.00 11.00 12.00 336.66 1.25 0.00 -14.99 -5.437 25.571 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 5.00 12.00 13.00 349.53 0.57 0.00 16.02 -5.863 26.561 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 6.00 13.00 14.00 424.66 0.54 0.00 27.53 -6.093 22.716 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 7.00 14.00 15.00 444.55 1.22 0.00 -13.56 -6.490 23.116 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 8.00 15.00 16.00 547.00 0.56 0.00 -7.10 -8.306 24.043 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 9.00 16.00 17.00 694.42 0.51 0.00 67.00 -9.212 21.005 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 10.00 17.00 18.00 534.83 1.48 0.00 22.07 -7.858 23.265 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 11.00 18.00 19.00 500.02 1.18 0.00 -65.55 -11.078 35.081 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 12.00 19.00 20.00 626.67 0.49 0.00 -8.52 -14.832 37.475 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 13.00 20.00 21.00 614.17 0.73 0.00 -21.90 -15.000 38.672 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 14.00 21.00 22.00 657.40 0.74 0.00 -16.11 -13.650 32.876 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 15.00 22.00 23.00 844.24 0.48 0.00 15.26 -14.521 27.233 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 16.00 23.00 24.00 798.13 0.51 0.00 -9.71 -12.192 24.188 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 17.00 24.00 25.00 778.81 0.44 0.00 -5.01 -12.407 25.225 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 18.00 25.00 26.00 654.76 0.48 0.00 55.63 -11.035 26.686 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 19.00 26.00 27.00 693.11 1.39 0.00 -49.88 -9.972 22.779 0.00 0.00 0.00 0.00
